region,pop_2020,pop_2025,change,change_rate,aging_rate,감소율_norm,고령화_norm,위기지수
단산면,1906,1682,-224,-11.75,47.3,91.5,84.7,88.1
부석면,3116,2717,-399,-12.8,43.6,100.0,73.3,86.6
이산면,2370,2141,-229,-9.66,48.1,74.5,87.1,80.8
안정면,3051,2726,-325,-10.65,44.7,82.5,76.7,79.6
문수면,1969,1787,-182,-9.24,46.8,71.0,83.1,77.0
장수면,2206,1994,-212,-9.61,45.2,74.0,78.2,76.1
평은면,1457,1358,-99,-6.79,52.3,51.1,100.0,75.6
봉현면,2739,2462,-277,-10.11,42.1,78.1,68.7,73.4
순흥면,2021,1848,-173,-8.56,38.9,65.5,58.9,62.2
상망동,7761,6859,-902,-11.62,28.4,90.4,26.7,58.6
풍기읍,10640,10056,-584,-5.49,35.2,40.5,47.5,44.0
하망동,6329,5693,-636,-10.05,22.1,77.6,7.4,42.5
가흥동,26940,24931,-2009,-7.46,19.7,56.6,0.0,28.3
영주동,7650,7826,176,2.3,26.3,14.6,20.2,17.4
휴천동,22964,23082,118,0.51,24.8,0.0,15.6,7.8
