순위,읍면동,인구수,의료_score,빈집_score,공원_score,관광_score,민박_score,종합점수,의료기관수,활용가능수,공원수,관광지수,민박수,총객실수
1,가흥동,24695,35.2,87.5,100.0,42.9,0.0,53.9,21.0,61,41.0,12.0,0.0,0.0
2,풍기읍,9943,25.9,57.4,10.8,92.9,100.0,52.7,16.0,57,6.0,26.0,33.0,94.0
3,영주동,7732,100.0,14.7,9.9,92.9,0.0,49.1,56.0,25,8.0,26.0,0.0,0.0
4,하망동,5627,81.5,88.8,0.0,0.0,0.0,46.6,46.0,61,0.0,0.0,0.0,0.0
5,순흥면,1807,0.0,51.8,1.9,100.0,24.9,32.0,2.0,31,1.0,28.0,8.0,24.0
6,휴천동,23227,24.1,89.3,0.0,0.0,0.0,29.6,15.0,55,0.0,0.0,0.0,0.0
7,부석면,2694,5.6,68.7,3.3,32.1,35.1,29.4,5.0,45,2.0,9.0,13.0,29.0
8,문수면,1808,0.0,80.0,0.0,32.1,8.8,26.1,2.0,46,0.0,9.0,3.0,8.0
9,이산면,2095,0.0,48.1,25.7,17.9,12.5,20.4,2.0,43,9.0,5.0,3.0,15.0
10,단산면,1671,0.0,52.6,0.0,17.9,26.9,19.9,2.0,39,0.0,5.0,9.0,25.0
11,장수면,1952,3.7,56.9,0.0,10.7,0.0,16.9,4.0,41,0.0,3.0,0.0,0.0
12,봉현면,2445,1.9,25.5,9.4,39.3,12.9,16.2,3.0,16,2.0,11.0,5.0,10.0
13,상망동,6801,1.9,60.6,0.0,0.0,0.0,15.7,3.0,45,0.0,0.0,0.0,0.0
14,평은면,1331,0.0,20.0,3.6,21.4,19.6,11.7,2.0,31,1.0,6.0,7.0,17.0
15,안정면,2727,3.7,22.8,0.0,14.3,6.7,10.0,4.0,31,0.0,4.0,3.0,4.0
