순위,읍면동,종합점수,추천이유,의료기관수,활용가능수,관광지수,민박수
1,가흥동,53.9,"빈집 풍부, 녹지 우수",21.0,61,12.0,0.0
2,풍기읍,52.7,"관광 풍부, 숙박 편리",16.0,57,26.0,33.0
3,영주동,49.1,"의료 우수, 관광 풍부",56.0,25,26.0,0.0
4,하망동,46.6,"의료 우수, 빈집 풍부",46.0,61,0.0,0.0
5,순흥면,32.0,관광 풍부,2.0,31,28.0,8.0
6,휴천동,29.6,빈집 풍부,15.0,55,0.0,0.0
7,부석면,29.4,빈집 풍부,5.0,45,9.0,13.0
8,문수면,26.1,빈집 풍부,2.0,46,9.0,3.0
9,이산면,20.4,균형적,2.0,43,5.0,3.0
10,단산면,19.9,균형적,2.0,39,5.0,9.0
11,장수면,16.9,균형적,4.0,41,3.0,0.0
12,봉현면,16.2,균형적,3.0,16,11.0,5.0
13,상망동,15.7,빈집 풍부,3.0,45,0.0,0.0
14,평은면,11.7,균형적,2.0,31,6.0,7.0
15,안정면,10.0,균형적,4.0,31,4.0,3.0
