sido,year,prev_region,item,value,kind
경상북도,2020,전국,귀농가구원수 (명),3135.0,귀농
경상북도,2020,서울특별시,귀농가구원수 (명),288.0,귀농
경상북도,2020,부산광역시,귀농가구원수 (명),210.0,귀농
경상북도,2020,대구광역시,귀농가구원수 (명),923.0,귀농
경상북도,2020,인천광역시,귀농가구원수 (명),115.0,귀농
경상북도,2020,광주광역시,귀농가구원수 (명),,귀농
경상북도,2020,대전광역시,귀농가구원수 (명),43.0,귀농
경상북도,2020,울산광역시,귀농가구원수 (명),185.0,귀농
경상북도,2020,세종특별자치시,귀농가구원수 (명),,귀농
경상북도,2020,경기도,귀농가구원수 (명),351.0,귀농
경상북도,2020,강원특별자치도,귀농가구원수 (명),21.0,귀농
경상북도,2020,충청북도,귀농가구원수 (명),32.0,귀농
경상북도,2020,충청남도,귀농가구원수 (명),19.0,귀농
경상북도,2020,전라북도,귀농가구원수 (명),9.0,귀농
경상북도,2020,전라남도,귀농가구원수 (명),5.0,귀농
경상북도,2020,경상북도,귀농가구원수 (명),838.0,귀농
경상북도,2020,경상남도,귀농가구원수 (명),87.0,귀농
경상북도,2020,제주특별자치도,귀농가구원수 (명),4.0,귀농
경상북도,2021,전국,귀농가구원수 (명),3654.0,귀농
경상북도,2021,서울특별시,귀농가구원수 (명),327.0,귀농
경상북도,2021,부산광역시,귀농가구원수 (명),261.0,귀농
경상북도,2021,대구광역시,귀농가구원수 (명),1060.0,귀농
경상북도,2021,인천광역시,귀농가구원수 (명),117.0,귀농
경상북도,2021,광주광역시,귀농가구원수 (명),5.0,귀농
경상북도,2021,대전광역시,귀농가구원수 (명),28.0,귀농
경상북도,2021,울산광역시,귀농가구원수 (명),261.0,귀농
경상북도,2021,세종특별자치시,귀농가구원수 (명),4.0,귀농
경상북도,2021,경기도,귀농가구원수 (명),424.0,귀농
경상북도,2021,강원특별자치도,귀농가구원수 (명),15.0,귀농
경상북도,2021,충청북도,귀농가구원수 (명),16.0,귀농
경상북도,2021,충청남도,귀농가구원수 (명),33.0,귀농
경상북도,2021,전라북도,귀농가구원수 (명),8.0,귀농
경상북도,2021,전라남도,귀농가구원수 (명),5.0,귀농
경상북도,2021,경상북도,귀농가구원수 (명),967.0,귀농
경상북도,2021,경상남도,귀농가구원수 (명),120.0,귀농
경상북도,2021,제주특별자치도,귀농가구원수 (명),,귀농
경상북도,2022,전국,귀농가구원수 (명),3317.0,귀농
경상북도,2022,서울특별시,귀농가구원수 (명),286.0,귀농
경상북도,2022,부산광역시,귀농가구원수 (명),216.0,귀농
경상북도,2022,대구광역시,귀농가구원수 (명),1049.0,귀농
경상북도,2022,인천광역시,귀농가구원수 (명),99.0,귀농
경상북도,2022,광주광역시,귀농가구원수 (명),11.0,귀농
경상북도,2022,대전광역시,귀농가구원수 (명),31.0,귀농
경상북도,2022,울산광역시,귀농가구원수 (명),185.0,귀농
경상북도,2022,세종특별자치시,귀농가구원수 (명),10.0,귀농
경상북도,2022,경기도,귀농가구원수 (명),392.0,귀농
경상북도,2022,강원특별자치도,귀농가구원수 (명),20.0,귀농
경상북도,2022,충청북도,귀농가구원수 (명),31.0,귀농
경상북도,2022,충청남도,귀농가구원수 (명),21.0,귀농
경상북도,2022,전라북도,귀농가구원수 (명),5.0,귀농
경상북도,2022,전라남도,귀농가구원수 (명),15.0,귀농
경상북도,2022,경상북도,귀농가구원수 (명),858.0,귀농
경상북도,2022,경상남도,귀농가구원수 (명),86.0,귀농
경상북도,2022,제주특별자치도,귀농가구원수 (명),,귀농
경상북도,2023,전국,귀농가구원수 (명),2451.0,귀농
경상북도,2023,서울특별시,귀농가구원수 (명),209.0,귀농
경상북도,2023,부산광역시,귀농가구원수 (명),114.0,귀농
경상북도,2023,대구광역시,귀농가구원수 (명),796.0,귀농
경상북도,2023,인천광역시,귀농가구원수 (명),79.0,귀농
경상북도,2023,광주광역시,귀농가구원수 (명),,귀농
경상북도,2023,대전광역시,귀농가구원수 (명),32.0,귀농
경상북도,2023,울산광역시,귀농가구원수 (명),139.0,귀농
경상북도,2023,세종특별자치시,귀농가구원수 (명),12.0,귀농
경상북도,2023,경기도,귀농가구원수 (명),283.0,귀농
경상북도,2023,강원특별자치도,귀농가구원수 (명),14.0,귀농
경상북도,2023,충청북도,귀농가구원수 (명),19.0,귀농
경상북도,2023,충청남도,귀농가구원수 (명),18.0,귀농
경상북도,2023,전라북도,귀농가구원수 (명),10.0,귀농
