sido,year,prev_region,item,value,kind
경상북도,2020,전국,귀산촌인수 (명),9979,귀산촌
경상북도,2020,서울특별시,귀산촌인수 (명),794,귀산촌
경상북도,2020,부산광역시,귀산촌인수 (명),620,귀산촌
경상북도,2020,대구광역시,귀산촌인수 (명),3137,귀산촌
경상북도,2020,인천광역시,귀산촌인수 (명),251,귀산촌
경상북도,2020,광주광역시,귀산촌인수 (명),30,귀산촌
경상북도,2020,대전광역시,귀산촌인수 (명),184,귀산촌
경상북도,2020,울산광역시,귀산촌인수 (명),653,귀산촌
경상북도,2020,세종특별자치시,귀산촌인수 (명),26,귀산촌
경상북도,2020,경기도,귀산촌인수 (명),845,귀산촌
경상북도,2020,강원특별자치도,귀산촌인수 (명),138,귀산촌
경상북도,2020,충청북도,귀산촌인수 (명),96,귀산촌
경상북도,2020,충청남도,귀산촌인수 (명),49,귀산촌
경상북도,2020,전라북도,귀산촌인수 (명),33,귀산촌
경상북도,2020,전라남도,귀산촌인수 (명),21,귀산촌
경상북도,2020,경상북도,귀산촌인수 (명),2761,귀산촌
경상북도,2020,경상남도,귀산촌인수 (명),309,귀산촌
경상북도,2020,제주특별자치도,귀산촌인수 (명),32,귀산촌
경상북도,2021,전국,귀산촌인수 (명),10349,귀산촌
경상북도,2021,서울특별시,귀산촌인수 (명),818,귀산촌
경상북도,2021,부산광역시,귀산촌인수 (명),650,귀산촌
경상북도,2021,대구광역시,귀산촌인수 (명),3286,귀산촌
경상북도,2021,인천광역시,귀산촌인수 (명),244,귀산촌
경상북도,2021,광주광역시,귀산촌인수 (명),38,귀산촌
경상북도,2021,대전광역시,귀산촌인수 (명),143,귀산촌
경상북도,2021,울산광역시,귀산촌인수 (명),752,귀산촌
경상북도,2021,세종특별자치시,귀산촌인수 (명),27,귀산촌
경상북도,2021,경기도,귀산촌인수 (명),968,귀산촌
경상북도,2021,강원특별자치도,귀산촌인수 (명),137,귀산촌
경상북도,2021,충청북도,귀산촌인수 (명),108,귀산촌
경상북도,2021,충청남도,귀산촌인수 (명),87,귀산촌
경상북도,2021,전라북도,귀산촌인수 (명),38,귀산촌
경상북도,2021,전라남도,귀산촌인수 (명),22,귀산촌
경상북도,2021,경상북도,귀산촌인수 (명),2679,귀산촌
경상북도,2021,경상남도,귀산촌인수 (명),318,귀산촌
경상북도,2021,제주특별자치도,귀산촌인수 (명),34,귀산촌
경상북도,2022,전국,귀산촌인수 (명),10353,귀산촌
경상북도,2022,서울특별시,귀산촌인수 (명),804,귀산촌
경상북도,2022,부산광역시,귀산촌인수 (명),560,귀산촌
경상북도,2022,대구광역시,귀산촌인수 (명),3176,귀산촌
경상북도,2022,인천광역시,귀산촌인수 (명),239,귀산촌
경상북도,2022,광주광역시,귀산촌인수 (명),33,귀산촌
경상북도,2022,대전광역시,귀산촌인수 (명),146,귀산촌
경상북도,2022,울산광역시,귀산촌인수 (명),644,귀산촌
경상북도,2022,세종특별자치시,귀산촌인수 (명),27,귀산촌
경상북도,2022,경기도,귀산촌인수 (명),1039,귀산촌
경상북도,2022,강원특별자치도,귀산촌인수 (명),124,귀산촌
경상북도,2022,충청북도,귀산촌인수 (명),125,귀산촌
경상북도,2022,충청남도,귀산촌인수 (명),75,귀산촌
경상북도,2022,전라북도,귀산촌인수 (명),52,귀산촌
경상북도,2022,전라남도,귀산촌인수 (명),31,귀산촌
경상북도,2022,경상북도,귀산촌인수 (명),2938,귀산촌
경상북도,2022,경상남도,귀산촌인수 (명),311,귀산촌
경상북도,2022,제주특별자치도,귀산촌인수 (명),29,귀산촌
경상북도,2023,전국,귀산촌인수 (명),8793,귀산촌
경상북도,2023,서울특별시,귀산촌인수 (명),680,귀산촌
