sido,year,prev_region,item,value,kind
경상북도,2020,전국,귀촌인수 (명),50563,귀촌
경상북도,2020,서울특별시,귀촌인수 (명),2860,귀촌
경상북도,2020,부산광역시,귀촌인수 (명),2386,귀촌
경상북도,2020,대구광역시,귀촌인수 (명),11847,귀촌
경상북도,2020,인천광역시,귀촌인수 (명),900,귀촌
경상북도,2020,광주광역시,귀촌인수 (명),178,귀촌
경상북도,2020,대전광역시,귀촌인수 (명),609,귀촌
경상북도,2020,울산광역시,귀촌인수 (명),2959,귀촌
경상북도,2020,세종특별자치시,귀촌인수 (명),98,귀촌
경상북도,2020,경기도,귀촌인수 (명),3116,귀촌
경상북도,2020,강원특별자치도,귀촌인수 (명),482,귀촌
경상북도,2020,충청북도,귀촌인수 (명),391,귀촌
경상북도,2020,충청남도,귀촌인수 (명),281,귀촌
경상북도,2020,전라북도,귀촌인수 (명),197,귀촌
경상북도,2020,전라남도,귀촌인수 (명),165,귀촌
경상북도,2020,경상북도,귀촌인수 (명),22376,귀촌
경상북도,2020,경상남도,귀촌인수 (명),1483,귀촌
경상북도,2020,제주특별자치도,귀촌인수 (명),235,귀촌
경상북도,2021,전국,귀촌인수 (명),52864,귀촌
경상북도,2021,서울특별시,귀촌인수 (명),3019,귀촌
경상북도,2021,부산광역시,귀촌인수 (명),2480,귀촌
경상북도,2021,대구광역시,귀촌인수 (명),12883,귀촌
경상북도,2021,인천광역시,귀촌인수 (명),875,귀촌
경상북도,2021,광주광역시,귀촌인수 (명),174,귀촌
경상북도,2021,대전광역시,귀촌인수 (명),626,귀촌
경상북도,2021,울산광역시,귀촌인수 (명),3789,귀촌
경상북도,2021,세종특별자치시,귀촌인수 (명),117,귀촌
경상북도,2021,경기도,귀촌인수 (명),3478,귀촌
경상북도,2021,강원특별자치도,귀촌인수 (명),508,귀촌
경상북도,2021,충청북도,귀촌인수 (명),384,귀촌
경상북도,2021,충청남도,귀촌인수 (명),394,귀촌
경상북도,2021,전라북도,귀촌인수 (명),195,귀촌
경상북도,2021,전라남도,귀촌인수 (명),193,귀촌
경상북도,2021,경상북도,귀촌인수 (명),21975,귀촌
경상북도,2021,경상남도,귀촌인수 (명),1551,귀촌
경상북도,2021,제주특별자치도,귀촌인수 (명),223,귀촌
경상북도,2022,전국,귀촌인수 (명),45948,귀촌
경상북도,2022,서울특별시,귀촌인수 (명),2868,귀촌
경상북도,2022,부산광역시,귀촌인수 (명),2091,귀촌
경상북도,2022,대구광역시,귀촌인수 (명),11358,귀촌
경상북도,2022,인천광역시,귀촌인수 (명),816,귀촌
경상북도,2022,광주광역시,귀촌인수 (명),176,귀촌
경상북도,2022,대전광역시,귀촌인수 (명),565,귀촌
경상북도,2022,울산광역시,귀촌인수 (명),2226,귀촌
경상북도,2022,세종특별자치시,귀촌인수 (명),95,귀촌
경상북도,2022,경기도,귀촌인수 (명),3460,귀촌
경상북도,2022,강원특별자치도,귀촌인수 (명),425,귀촌
경상북도,2022,충청북도,귀촌인수 (명),387,귀촌
경상북도,2022,충청남도,귀촌인수 (명),335,귀촌
경상북도,2022,전라북도,귀촌인수 (명),225,귀촌
경상북도,2022,전라남도,귀촌인수 (명),165,귀촌
경상북도,2022,경상북도,귀촌인수 (명),19102,귀촌
경상북도,2022,경상남도,귀촌인수 (명),1451,귀촌
경상북도,2022,제주특별자치도,귀촌인수 (명),203,귀촌
