sido,year,item,value
경상북도,2020,계,38373
경상북도,2020,직업,12185
경상북도,2020,가족,9604
경상북도,2020,주택,9454
경상북도,2020,교육,824
경상북도,2020,주거환경,1518
경상북도,2020,자연환경,2009
경상북도,2020,기타,2779
경상북도,2021,계,40278
경상북도,2021,직업,12824
경상북도,2021,가족,9474
경상북도,2021,주택,10489
경상북도,2021,교육,586
경상북도,2021,주거환경,1710
경상북도,2021,자연환경,2394
경상북도,2021,기타,2801
경상북도,2022,계,36745
경상북도,2022,직업,12190
경상북도,2022,가족,9347
경상북도,2022,주택,7981
경상북도,2022,교육,555
경상북도,2022,주거환경,1293
경상북도,2022,자연환경,2325
경상북도,2022,기타,3054
경상북도,2023,계,34006
경상북도,2023,직업,11706
경상북도,2023,가족,8621
경상북도,2023,주택,6682
경상북도,2023,교육,524
경상북도,2023,주거환경,1364
경상북도,2023,자연환경,2114
경상북도,2023,기타,2995
경상북도,2024,계,38782
경상북도,2024,직업,11157
경상북도,2024,가족,9302
경상북도,2024,주택,11303
경상북도,2024,교육,758
경상북도,2024,주거환경,1660
경상북도,2024,자연환경,1939
경상북도,2024,기타,2663
