region,year,total_pop,male_pop,female_pop,household,sex_ratio
가흥1동,2020,18953,9519,9434,8476,100.9
가흥2동,2020,7987,3830,4157,3668,92.13
단산면,2020,1906,955,951,1092,100.42
문수면,2020,1969,1001,968,1116,103.41
봉현면,2020,2739,1390,1349,1416,103.04
부석면,2020,3116,1546,1570,1728,98.47
상망동,2020,7761,3865,3896,3515,99.2
순흥면,2020,2021,1016,1005,1113,101.09
안정면,2020,3051,1539,1512,1600,101.79
영주1동,2020,4081,1979,2102,2278,94.15
영주2동,2020,3569,1707,1862,1788,91.68
영주시 전체,2020,103119,51070,52049,49718,98.12
이산면,2020,2370,1218,1152,1205,105.73
장수면,2020,2206,1118,1088,1158,102.76
평은면,2020,1457,736,721,791,102.08
풍기읍,2020,10640,5237,5403,5414,96.93
하망동,2020,6329,3035,3294,2958,92.14
휴천1동,2020,6681,3323,3358,2780,98.96
휴천2동,2020,8250,4061,4189,4006,96.94
휴천3동,2020,8033,3995,4038,3616,98.94
가흥1동,2021,15303,7702,7601,6735,101.33
가흥2동,2021,9674,4720,4954,4421,95.28
단산면,2021,1831,903,928,1075,97.31
문수면,2021,1938,995,943,1116,105.51
봉현면,2021,2700,1375,1325,1404,103.77
부석면,2021,2995,1494,1501,1688,99.53
상망동,2021,7430,3706,3724,3467,99.52
순흥면,2021,1983,991,992,1121,99.9
안정면,2021,2962,1486,1476,1583,100.68
영주1동,2021,3912,1924,1988,2228,96.78
영주2동,2021,4915,2361,2554,2549,92.44
영주시 전체,2021,101942,50591,51351,50271,98.52
이산면,2021,2295,1187,1108,1197,107.13
장수면,2021,2143,1083,1060,1163,102.17
평은면,2021,1422,725,697,787,104.02
풍기읍,2021,10485,5214,5271,5473,98.92
하망동,2021,6007,2866,3141,2889,91.24
휴천1동,2021,6511,3227,3284,2796,98.26
휴천2동,2021,9837,4861,4976,5030,97.69
휴천3동,2021,7599,3771,3828,3549,98.51
가흥1동,2022,15456,7756,7700,6930,100.73
가흥2동,2022,10186,4986,5200,4708,95.88
단산면,2022,1797,876,921,1074,95.11
문수면,2022,1930,1000,930,1118,107.53
봉현면,2022,2624,1342,1282,1401,104.68
부석면,2022,2926,1464,1462,1673,100.14
상망동,2022,7295,3637,3658,3483,99.43
순흥면,2022,1953,978,975,1118,100.31
안정면,2022,2874,1429,1445,1591,98.89
영주1동,2022,3770,1855,1915,2188,96.87
영주2동,2022,4744,2277,2467,2493,92.3
영주시 전체,2022,100749,49920,50829,50663,98.21
이산면,2022,2216,1147,1069,1186,107.3
장수면,2022,2101,1071,1030,1176,103.98
평은면,2022,1424,725,699,808,103.72
풍기읍,2022,10306,5134,5172,5507,99.27
하망동,2022,5820,2746,3074,2833,89.33
휴천1동,2022,6354,3142,3212,2780,97.82
휴천2동,2022,9552,4714,4838,5025,97.44
휴천3동,2022,7421,3641,3780,3571,96.32
가흥1동,2023,15448,7777,7671,7039,101.38
가흥2동,2023,10240,5000,5240,4811,95.42
단산면,2023,1762,865,897,1067,96.43
문수면,2023,1919,984,935,1126,105.24
봉현면,2023,2566,1295,1271,1401,101.89
부석면,2023,2846,1415,1431,1643,98.88
상망동,2023,7201,3573,3628,3463,98.48
순흥면,2023,1878,953,925,1096,103.03
안정면,2023,2846,1430,1416,1597,100.99
영주1동,2023,3638,1792,1846,2128,97.07
영주2동,2023,4617,2207,2410,2463,91.58
영주시 전체,2023,100199,49730,50469,51423,98.54
이산면,2023,2193,1127,1066,1185,105.72
장수면,2023,2078,1064,1014,1171,104.93
평은면,2023,1405,722,683,797,105.71
풍기읍,2023,10515,5325,5190,5882,102.6
하망동,2023,5825,2787,3038,2905,91.74
휴천1동,2023,6283,3110,3173,2847,98.01
휴천2동,2023,9656,4757,4899,5252,97.1
휴천3동,2023,7283,3547,3736,3550,94.94
가흥1동,2024,15311,7705,7606,7075,101.3
가흥2동,2024,10177,4996,5181,4854,96.43
단산면,2024,1710,842,868,1056,97.0
문수면,2024,1875,972,903,1112,107.64
봉현면,2024,2527,1285,1242,1406,103.46
부석면,2024,2817,1411,1406,1634,100.36
상망동,2024,7041,3494,3547,3448,98.51
순흥면,2024,1869,945,924,1108,102.27
안정면,2024,2784,1405,1379,1585,101.89
영주1동,2024,3526,1733,1793,2102,96.65
영주2동,2024,4549,2157,2392,2442,90.18
영주시 전체,2024,98870,49141,49729,51571,98.82
이산면,2024,2183,1118,1065,1193,104.98
장수면,2024,2007,1019,988,1170,103.14
평은면,2024,1377,703,674,804,104.3
풍기읍,2024,10413,5312,5101,5905,104.14
하망동,2024,5791,2782,3009,2940,92.46
휴천1동,2024,6131,3036,3095,2844,98.09
휴천2동,2024,9628,4721,4907,5333,96.21
휴천3동,2024,7154,3505,3649,3560,96.05
가흥1동,2025,14974,7547,7427,7051,101.62
가흥2동,2025,9957,4909,5048,4843,97.25
단산면,2025,1682,826,856,1032,96.5
문수면,2025,1787,942,845,1075,111.48
봉현면,2025,2462,1260,1202,1371,104.83
부석면,2025,2717,1368,1349,1612,101.41
상망동,2025,6859,3401,3458,3428,98.35
순흥면,2025,1848,928,920,1093,100.87
안정면,2025,2726,1366,1360,1557,100.44
영주1동,2025,3393,1659,1734,2040,95.67
영주2동,2025,4433,2095,2338,2417,89.61
영주시 전체,2025,97162,48298,48864,51283,98.84
이산면,2025,2141,1094,1047,1173,104.49
장수면,2025,1994,1018,976,1169,104.3
평은면,2025,1358,694,664,796,104.52
풍기읍,2025,10056,5103,4953,5724,103.03
하망동,2025,5693,2775,2918,2985,95.1
휴천1동,2025,6570,3234,3336,3077,96.94
휴천2동,2025,9608,4685,4923,5347,95.17
휴천3동,2025,6904,3394,3510,3493,96.7
