공원명,공원구분,주소,위도,경도,지정고시일,읍면동,공원면적(㎡),운동시설_보유,유희시설_보유,편익시설_보유,교양시설_보유,기타시설_보유
가흥공원4,근린공원,경상북도 영주시 가흥로 263,36.82063442,128.6115011,,가흥동,104412,N,N,N,N,N
구학공원,근린공원,,36.82054981,128.6176043,,가흥동,30920,N,N,N,N,N
서부공원,근린공원,경상북도 영주시 신재로 58-29,36.83149767,128.6070695,,가흥동,87101,N,N,N,N,N
가흥안뜰공원,근린공원,경상북도 영주시 대학로163번길 2-39,36.81221745,128.6062345,,가흥동,10205,N,N,N,N,N
공원1,근린공원,,36.83455105,128.6360692,,가흥동,13344,N,N,N,N,N
구성공원,근린공원,경상북도 영주시 중앙로63번길 41-32,36.82267379,128.6208234,,가흥동,26368,N,N,N,N,N
반구전문농공단지공원,근린공원,,36.77699047,128.5944224,,이산면,10840,N,N,N,N,N
용혈공원,근린공원,경상북도 영주시 평은면 문평로 831,36.72611271,128.6538605,,평은면,43400,N,N,N,N,N
광복공원,근린공원,,36.8784517,128.5387883,,풍기읍,49574,N,N,N,N,N
철탄산공원,근린공원,경상북도 영주시 향교길 113-18,36.83235944,128.6302763,,가흥동,365820,N,N,N,N,N
휴천공원3-1,근린공원,,36.80317759,128.6337492,,가흥동,23189,N,N,N,N,N
휴천공원3-2,근린공원,,36.80443248,128.6230029,,가흥동,18652,N,N,N,N,N
광승공원,근린공원,,36.81470457,128.6332064,,가흥동,263103,N,N,N,N,N
삼각지공원,근린공원,,36.81919646,128.6213106,,가흥동,8613,N,N,N,N,N
가흥제8공원,어린이공원,경상북도 영주시 대동로13번길 9,36.8159935,128.6034571,,대동,4167,N,N,N,N,N
2토지제2공원,어린이공원,,36.81618739,128.6173332,,가흥동,670,N,N,N,N,N
가흥제3공원,어린이공원,,36.81783441,128.6072952,,가흥동,2001,N,N,N,N,N
가흥제1공원,어린이공원,,36.82008896,128.6058725,,가흥동,1801,N,N,N,N,N
가흥제2공원,어린이공원,,36.82185795,128.6099948,,가흥동,2001,N,N,N,N,N
가흥제4공원,어린이공원,,36.81549952,128.6098401,,가흥동,1798,N,N,N,N,N
가흥제7공원,어린이공원,,36.82573284,128.6104641,,가흥동,2090,N,N,N,N,N
상망제1공원,어린이공원,,36.8264771,128.6389557,,가흥동,1500,N,N,N,N,N
공원(댐어공1),어린이공원,,36.75774123,128.6876404,,이산면,1577,N,N,N,N,N
성내공원,어린이공원,,36.8713662,128.5199903,,풍기읍,1900,N,N,N,N,N
3토지제3공원,어린이공원,,36.82317229,128.6300703,,가흥동,936,N,N,N,N,N
1토지제1공원,어린이공원,,36.80768797,128.6205034,,가흥동,661,N,N,N,N,N
3토지제1공원,어린이공원,,36.81554823,128.6286278,,가흥동,985,N,N,N,N,N
제1호어린이공원,어린이공원,,36.81998186,128.6331411,,가흥동,3691,N,N,N,N,N
천부산공원,문화공원,,36.80834838,128.5068335,,부석면,17110,N,N,N,N,N
풍기인삼문화팝업공원,문화공원,,36.86821152,128.5184326,,풍기읍,23967,N,N,N,N,N
콩사과테마공원,문화공원,,36.99445416,128.6637072,,봉현면,115518,N,N,N,N,N
관사골공원,문화공원,,36.8301316,128.6175925,,가흥동,5653,N,N,N,N,N
문화공원1,문화공원,,36.78237171,128.6164143,,영주동,5256,N,N,N,N,N
문화공원2,문화공원,,36.78288098,128.6162214,,영주동,5256,N,N,N,N,N
영주댐하류공원,문화공원,,36.71718718,128.6595927,,이산면,96419,N,N,N,N,N
문화공원,문화공원,,36.87088619,128.5248413,,풍기읍,2736,N,N,N,N,N
죽령테마공원,문화공원,,36.89485309,128.4663183,,부석면,5882,N,N,N,N,N
가흥제2소공원,소공원,,36.82008896,128.6058725,,가흥동,2164,N,N,N,N,N
가흥제1소공원,소공원,,36.82008896,128.6058725,,가흥동,2040,N,N,N,N,N
한절마제1소공원,소공원,,36.81408627,128.6127814,,가흥동,280,N,N,N,N,N
가흥소공원,소공원,,36.80786277,128.6104895,,가흥동,935,N,N,N,N,N
공원,소공원,,36.80999886,128.6051956,,가흥동,1660,N,N,N,N,N
소공원1,소공원,,36.78023907,128.6086734,,영주동,1451,N,N,N,N,N
소공원2,소공원,,36.7788015,128.6115584,,이산면,5008,N,N,N,N,N
동구산공원,소공원,,36.97657875,128.6546958,,봉현면,8478,N,N,N,N,N
OCI머티리얼즈산업단지공원,소공원,,36.83083798,128.5873093,,영주동,5671,N,N,N,N,N
가흥일반산업단지공원,소공원,,36.82504102,128.5881739,,영주동,2231,N,N,N,N,N
신사골소공원,소공원,,36.82891519,128.6268354,,가흥동,1818,N,N,N,N,N
서천소공원,소공원,,36.83060737,128.6154805,,가흥동,5959,N,N,N,N,N
공원1(갈산일반산업단지),소공원,,36.79021311,128.5742381,,영주동,1332,N,N,N,N,N
공원2(갈산일반산업단지),소공원,,36.78946122,128.5735247,,영주동,298,N,N,N,N,N
조암소공원,소공원,,36.801368,128.622075,,가흥동,2225,N,N,N,N,N
댐소공2,소공원,,36.73542679,128.6792587,,이산면,1058,N,N,N,N,N
댐소공1,소공원,,36.75633048,128.690019,,이산면,1244,N,N,N,N,N
댐소공3,소공원,,36.73101474,128.6774802,,이산면,819,N,N,N,N,N
풍기온천관광지소공원1,소공원,,36.88812302,128.4782094,,풍기읍,1880,N,N,N,N,N
풍기온천관광지소공원2,소공원,,36.88768357,128.4787177,,풍기읍,1916,N,N,N,N,N
곱작골소공원,소공원,,36.82117857,128.6325217,,가흥동,850,N,N,N,N,N
향교골소공원1,소공원,경상북도 영주시 명륜길28번길 25,36.82874557,128.629497,,가흥동,930,N,N,N,N,N
향교골소공원2,소공원,,36.82890301,128.6280926,,가흥동,130,N,N,N,N,N
하망제2소공원,소공원,,36.82977756,128.6309733,,가흥동,643,N,N,N,N,N
제1호소공원,소공원,,36.81967812,128.635032,,가흥동,1054,N,N,N,N,N
삼각지소공원2,소공원,,36.81765082,128.6225058,,가흥동,113,N,N,N,N,N
삼각지소공원1,소공원,,36.8182031,128.6220436,,가흥동,210,N,N,N,N,N
휴천소공원,소공원,,36.8180878,128.6322374,,가흥동,1200,N,N,N,N,N
1토지제2공원,소공원,,36.80934176,128.6245556,,가흥동,299,N,N,N,N,N
3토지제2공원,소공원,,36.81487824,128.6259629,,가흥동,420,N,N,N,N,N
한정공원,수변공원,경상북도 영주시 한정로124번길 6,36.79860879,128.6165708,,영주동,13340,N,N,N,N,N
평은수변공원1,수변공원,,36.732814,128.6780547,,이산면,94196,N,N,N,N,N
평은수변공원2,수변공원,,36.72292826,128.6699837,,이산면,70248,N,N,N,N,N
봉서루공원,역사공원,,36.89988008,128.579378,,순흥면,16050,N,N,N,N,N
