주소,상세주소,대분류코드,중분류코드,소분류코드,등록일시,대표이미지,썸네일이미지,경도,위도,수정일시,전화번호,관광지명,우편번호,관광유형1,관광유형2,관광유형3,관광유형명,읍면동,이미지여부
경상북도 영주시 풍기읍 성내리,240-1,,,,2008-03-07,https://tong.visitkorea.or.kr/cms/resource/55/3563955_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/55/3563955_image3_1.jpg,128.521518,36.868718,2026-04-10,054-635-0020,경북영주 풍기인삼축제,36030.0,EV,EV01,EV010100,축제공연행사,풍기읍,Y
경상북도 영주시 영주동 337-20,,C01,C0114,C01140001,2021-12-08,http://tong.visitkorea.or.kr/cms/resource/22/2654222_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/22/2654222_image3_1.jpg,128.622907975,36.826031081,2023-07-17,,과거로 돌아가 잠시 삶의 쉼표를 찍어보는 영주 여행,,C01,C0114,C01140001,여행코스,영주동,Y
경상북도 영주시 두서길19번길 10,(영주동),A02,A0203,A02030400,2021-05-15,http://tong.visitkorea.or.kr/cms/resource/50/2820450_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/2820450_image2_1.jpg,128.6187304939,36.8286362591,2024-06-18,010-6646-3958,관사골작업실 협동조합,36072.0,EX,EX07,EX070200,관광지,순흥면,Y
경상북도 영주시 단산면 단산로121번길 27-8,,A02,A0201,A02010700,2007-02-23,http://tong.visitkorea.or.kr/cms/resource/16/3401016_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/16/3401016_image3_1.jpg,128.5954168164,36.892539608,2025-03-17,,구고서원,36011.0,HS,HS01,HS010900,관광지,단산면,Y
경상북도 영주시 중앙로63번길 41-32 (영주동),,A02,A0202,A02020700,2004-02-17,http://tong.visitkorea.or.kr/cms/resource/83/3531183_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/3531183_image3_1.jpg,128.6208471443,36.8227230876,2025-09-09,,구성공원,36098.0,VE,VE03,VE030100,관광지,영주동,Y
경상북도 영주시 봉현면 테라피로 209,,,,,2016-12-08,https://tong.visitkorea.or.kr/cms/resource/48/3105948_image2_1.jpg,https://tong.visitkorea.or.kr/cms/resource/48/3105948_image3_1.jpg,128.472575420065,36.8577716071484,2026-05-12,,국립산림치유원,36043.0,,NA04,NA040600,관광지,봉현면,Y
경상북도 영주시 선비로 269-1,,A05,A0502,A05020400,2012-12-08,,,128.6149780723,36.8278946065,2025-03-19,054-632-5758,김영남손짜장,36079.0,FD,FD02,FD020100,음식점,순흥면,N
경상북도 영주시 문수면 무섬로234번길 31-8,,B02,B0201,B02011600,2019-05-01,,,128.6200998032,36.7337804756,2024-11-26,0507-1323-1880,김진호가옥,36173.0,AC,AC03,AC030200,숙박,문수면,N
경상북도 영주시 중앙로 89 (영주동),,A05,A0502,A05020100,2019-06-11,http://tong.visitkorea.or.kr/cms/resource/62/2606362_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/62/2606362_image3_1.jpg,128.62486621,36.8234147509,2025-11-04,054-633-5482,나드리,36075.0,FD,FD01,FD010100,음식점,영주동,Y
경상북도 영주시 봉현면 노좌로29번길 28,,A02,A0201,A02010700,2014-10-21,http://tong.visitkorea.or.kr/cms/resource/87/3403487_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/87/3403487_image3_1.jpg,128.4984977297,36.795779425,2025-10-29,,노계서원,36047.0,HS,HS01,HS010900,관광지,봉현면,Y
경상북도 영주시 두서길87번길 38,,A05,A0502,A05020900,2022-05-23,http://tong.visitkorea.or.kr/cms/resource/58/2821058_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/58/2821058_image3_1.jpg,128.6175916345,36.831099844,2025-08-22,,녹스고지,36072.0,FD,FD05,FD050100,음식점,순흥면,Y
경상북도 영주시 영주로231번길 8,,,,,2012-12-08,,,128.625295093728,36.8259533444825,2026-02-25,,대복식당,36074.0,FD,FD01,FD010100,음식점,영주동,N
경상북도 영주시 부석면 감산길46번길 13-5,,A02,A0201,A02010700,2014-10-21,http://tong.visitkorea.or.kr/cms/resource/38/3401038_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/38/3401038_image3_1.jpg,128.6547379129,36.939749207,2025-03-18,,덕산서원(영주),36006.0,HS,HS01,HS010900,관광지,부석면,Y
경상북도 영주시 번영로173번길 13,,,,,2012-12-08,,,128.623895214548,36.826389376417,2026-02-25,,동남풍한우식당,36074.0,FD,FD01,FD010100,음식점,가흥동,N
경상북도 영주시 영주로 77 (가흥동),,,,,2026-02-27,https://tong.visitkorea.or.kr/cms/resource/80/4045980_image2_1.png,https://tong.visitkorea.or.kr/cms/resource/80/4045980_image3_1.png,128.608467917937,36.8230298220005,2026-03-27,,롯데하이마트 영주점,36057.0,SH,SH04,SH040300,쇼핑,영주동,Y
경상북도 영주시 단산면 영단로,,A01,A0101,A01010400,2002-12-23,http://tong.visitkorea.or.kr/cms/resource/33/3060533_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/33/3060533_image3_1.jpg,128.6081721803,37.0492440924,2025-07-21,"054-638-6196, 6796",마구령·고치령,36007.0,,NA01,NA010100,관광지,단산면,Y
