year,item,gender,value,kind
2020,귀농가구원수 (명),계,120,귀농
2020,귀농가구원수 (명),남자,74,귀농
2020,귀농가구원수 (명),여자,46,귀농
2020,귀농인수 (명),계,80,귀농
2020,귀농인수 (명),남자,58,귀농
2020,귀농인수 (명),여자,22,귀농
2020,동반가구원수 (명),계,40,귀농
2020,동반가구원수 (명),남자,16,귀농
2020,동반가구원수 (명),여자,24,귀농
2021,귀농가구원수 (명),계,145,귀농
2021,귀농가구원수 (명),남자,95,귀농
2021,귀농가구원수 (명),여자,50,귀농
2021,귀농인수 (명),계,104,귀농
2021,귀농인수 (명),남자,79,귀농
2021,귀농인수 (명),여자,25,귀농
2021,동반가구원수 (명),계,41,귀농
2021,동반가구원수 (명),남자,16,귀농
2021,동반가구원수 (명),여자,25,귀농
2022,귀농가구원수 (명),계,148,귀농
2022,귀농가구원수 (명),남자,89,귀농
2022,귀농가구원수 (명),여자,59,귀농
2022,귀농인수 (명),계,107,귀농
2022,귀농인수 (명),남자,76,귀농
2022,귀농인수 (명),여자,31,귀농
2022,동반가구원수 (명),계,41,귀농
2022,동반가구원수 (명),남자,13,귀농
2022,동반가구원수 (명),여자,28,귀농
2023,귀농가구원수 (명),계,68,귀농
2023,귀농가구원수 (명),남자,43,귀농
2023,귀농가구원수 (명),여자,25,귀농
2023,귀농인수 (명),계,52,귀농
2023,귀농인수 (명),남자,36,귀농
2023,귀농인수 (명),여자,16,귀농
2023,동반가구원수 (명),계,16,귀농
2023,동반가구원수 (명),남자,7,귀농
2023,동반가구원수 (명),여자,9,귀농
2024,귀농가구원수 (명),계,96,귀농
2024,귀농가구원수 (명),남자,59,귀농
2024,귀농가구원수 (명),여자,37,귀농
2024,귀농인수 (명),계,80,귀농
2024,귀농인수 (명),남자,52,귀농
2024,귀농인수 (명),여자,28,귀농
2024,동반가구원수 (명),계,16,귀농
2024,동반가구원수 (명),남자,7,귀농
2024,동반가구원수 (명),여자,9,귀농
