sigun,year,item,age_group,value,kind
영주시,2020,귀농가구원수 (명),계,120.0,귀농
영주시,2020,귀농가구원수 (명),30대이하,28.0,귀농
영주시,2020,귀농가구원수 (명),40대,13.0,귀농
영주시,2020,귀농가구원수 (명),50대,43.0,귀농
영주시,2020,귀농가구원수 (명),60대,29.0,귀농
영주시,2020,귀농가구원수 (명),70대이상,7.0,귀농
영주시,2021,귀농가구원수 (명),계,145.0,귀농
영주시,2021,귀농가구원수 (명),30대이하,30.0,귀농
영주시,2021,귀농가구원수 (명),40대,17.0,귀농
영주시,2021,귀농가구원수 (명),50대,43.0,귀농
영주시,2021,귀농가구원수 (명),60대,46.0,귀농
영주시,2021,귀농가구원수 (명),70대이상,9.0,귀농
영주시,2022,귀농가구원수 (명),계,148.0,귀농
영주시,2022,귀농가구원수 (명),30대이하,24.0,귀농
영주시,2022,귀농가구원수 (명),40대,16.0,귀농
영주시,2022,귀농가구원수 (명),50대,53.0,귀농
영주시,2022,귀농가구원수 (명),60대,50.0,귀농
영주시,2022,귀농가구원수 (명),70대이상,5.0,귀농
영주시,2023,귀농가구원수 (명),계,68.0,귀농
영주시,2023,귀농가구원수 (명),30대이하,13.0,귀농
영주시,2023,귀농가구원수 (명),40대,,귀농
영주시,2023,귀농가구원수 (명),50대,18.0,귀농
영주시,2023,귀농가구원수 (명),60대,24.0,귀농
영주시,2023,귀농가구원수 (명),70대이상,10.0,귀농
영주시,2024,귀농가구원수 (명),계,96.0,귀농
영주시,2024,귀농가구원수 (명),30대이하,18.0,귀농
영주시,2024,귀농가구원수 (명),40대,6.0,귀농
영주시,2024,귀농가구원수 (명),50대,25.0,귀농
영주시,2024,귀농가구원수 (명),60대,44.0,귀농
영주시,2024,귀농가구원수 (명),70대이상,,귀농
영주시,2020,귀농인수 (명),계,80.0,귀농
영주시,2020,귀농인수 (명),30대이하,9.0,귀농
영주시,2020,귀농인수 (명),40대,11.0,귀농
영주시,2020,귀농인수 (명),50대,30.0,귀농
영주시,2020,귀농인수 (명),60대,24.0,귀농
영주시,2020,귀농인수 (명),70대이상,6.0,귀농
영주시,2021,귀농인수 (명),계,104.0,귀농
영주시,2021,귀농인수 (명),30대이하,14.0,귀농
영주시,2021,귀농인수 (명),40대,13.0,귀농
영주시,2021,귀농인수 (명),50대,33.0,귀농
영주시,2021,귀농인수 (명),60대,37.0,귀농
영주시,2021,귀농인수 (명),70대이상,7.0,귀농
영주시,2022,귀농인수 (명),계,107.0,귀농
영주시,2022,귀농인수 (명),30대이하,10.0,귀농
영주시,2022,귀농인수 (명),40대,11.0,귀농
영주시,2022,귀농인수 (명),50대,40.0,귀농
영주시,2022,귀농인수 (명),60대,41.0,귀농
영주시,2022,귀농인수 (명),70대이상,5.0,귀농
영주시,2023,귀농인수 (명),계,52.0,귀농
영주시,2023,귀농인수 (명),30대이하,6.0,귀농
영주시,2023,귀농인수 (명),40대,,귀농
영주시,2023,귀농인수 (명),50대,15.0,귀농
영주시,2023,귀농인수 (명),60대,20.0,귀농
영주시,2023,귀농인수 (명),70대이상,8.0,귀농
영주시,2024,귀농인수 (명),계,80.0,귀농
영주시,2024,귀농인수 (명),30대이하,12.0,귀농
영주시,2024,귀농인수 (명),40대,6.0,귀농
영주시,2024,귀농인수 (명),50대,24.0,귀농
영주시,2024,귀농인수 (명),60대,36.0,귀농
영주시,2024,귀농인수 (명),70대이상,,귀농
영주시,2020,동반가구원수 (명),계,40.0,귀농
영주시,2020,동반가구원수 (명),30대이하,19.0,귀농
영주시,2020,동반가구원수 (명),40대,,귀농
영주시,2020,동반가구원수 (명),50대,13.0,귀농
영주시,2020,동반가구원수 (명),60대,5.0,귀농
영주시,2020,동반가구원수 (명),70대이상,,귀농
영주시,2021,동반가구원수 (명),계,41.0,귀농
영주시,2021,동반가구원수 (명),30대이하,16.0,귀농
영주시,2021,동반가구원수 (명),40대,4.0,귀농
영주시,2021,동반가구원수 (명),50대,10.0,귀농
영주시,2021,동반가구원수 (명),60대,9.0,귀농
영주시,2021,동반가구원수 (명),70대이상,,귀농
영주시,2022,동반가구원수 (명),계,41.0,귀농
영주시,2022,동반가구원수 (명),30대이하,14.0,귀농
영주시,2022,동반가구원수 (명),40대,5.0,귀농
영주시,2022,동반가구원수 (명),50대,13.0,귀농
영주시,2022,동반가구원수 (명),60대,9.0,귀농
영주시,2022,동반가구원수 (명),70대이상,0.0,귀농
영주시,2023,동반가구원수 (명),계,16.0,귀농
영주시,2023,동반가구원수 (명),30대이하,7.0,귀농
영주시,2023,동반가구원수 (명),40대,0.0,귀농
영주시,2023,동반가구원수 (명),50대,,귀농
영주시,2023,동반가구원수 (명),60대,4.0,귀농
영주시,2023,동반가구원수 (명),70대이상,,귀농
영주시,2024,동반가구원수 (명),계,16.0,귀농
영주시,2024,동반가구원수 (명),30대이하,6.0,귀농
영주시,2024,동반가구원수 (명),40대,0.0,귀농
영주시,2024,동반가구원수 (명),50대,,귀농
영주시,2024,동반가구원수 (명),60대,8.0,귀농
영주시,2024,동반가구원수 (명),70대이상,,귀농
