sigun,year,item,age_group,value,kind
영주시,2020,귀산촌인수 (명),계,176.0,귀산촌
영주시,2020,귀산촌인수 (명),0 - 29세,29.0,귀산촌
영주시,2020,귀산촌인수 (명),30 - 39세,24.0,귀산촌
영주시,2020,귀산촌인수 (명),40 - 49세,30.0,귀산촌
영주시,2020,귀산촌인수 (명),50 - 59세,32.0,귀산촌
영주시,2020,귀산촌인수 (명),60 - 69세,29.0,귀산촌
영주시,2020,귀산촌인수 (명),70세 이상,32.0,귀산촌
영주시,2021,귀산촌인수 (명),계,173.0,귀산촌
영주시,2021,귀산촌인수 (명),0 - 29세,16.0,귀산촌
영주시,2021,귀산촌인수 (명),30 - 39세,22.0,귀산촌
영주시,2021,귀산촌인수 (명),40 - 49세,20.0,귀산촌
영주시,2021,귀산촌인수 (명),50 - 59세,38.0,귀산촌
영주시,2021,귀산촌인수 (명),60 - 69세,49.0,귀산촌
영주시,2021,귀산촌인수 (명),70세 이상,28.0,귀산촌
영주시,2022,귀산촌인수 (명),계,194.0,귀산촌
영주시,2022,귀산촌인수 (명),0 - 29세,15.0,귀산촌
영주시,2022,귀산촌인수 (명),30 - 39세,19.0,귀산촌
영주시,2022,귀산촌인수 (명),40 - 49세,28.0,귀산촌
영주시,2022,귀산촌인수 (명),50 - 59세,56.0,귀산촌
영주시,2022,귀산촌인수 (명),60 - 69세,45.0,귀산촌
영주시,2022,귀산촌인수 (명),70세 이상,31.0,귀산촌
영주시,2023,귀산촌인수 (명),계,161.0,귀산촌
영주시,2023,귀산촌인수 (명),0 - 29세,31.0,귀산촌
영주시,2023,귀산촌인수 (명),30 - 39세,23.0,귀산촌
영주시,2023,귀산촌인수 (명),40 - 49세,15.0,귀산촌
영주시,2023,귀산촌인수 (명),50 - 59세,35.0,귀산촌
영주시,2023,귀산촌인수 (명),60 - 69세,41.0,귀산촌
영주시,2023,귀산촌인수 (명),70세 이상,16.0,귀산촌
영주시,2024,귀산촌인수 (명),계,453.0,귀산촌
영주시,2024,귀산촌인수 (명),0 - 29세,128.0,귀산촌
영주시,2024,귀산촌인수 (명),30 - 39세,62.0,귀산촌
영주시,2024,귀산촌인수 (명),40 - 49세,54.0,귀산촌
영주시,2024,귀산촌인수 (명),50 - 59세,88.0,귀산촌
영주시,2024,귀산촌인수 (명),60 - 69세,79.0,귀산촌
영주시,2024,귀산촌인수 (명),70세 이상,42.0,귀산촌
영주시,2020,귀산촌가구주수 (명),계,144.0,귀산촌
영주시,2020,귀산촌가구주수 (명),0 - 29세,20.0,귀산촌
영주시,2020,귀산촌가구주수 (명),30 - 39세,17.0,귀산촌
영주시,2020,귀산촌가구주수 (명),40 - 49세,26.0,귀산촌
영주시,2020,귀산촌가구주수 (명),50 - 59세,30.0,귀산촌
영주시,2020,귀산촌가구주수 (명),60 - 69세,22.0,귀산촌
영주시,2020,귀산촌가구주수 (명),70세 이상,29.0,귀산촌
영주시,2021,귀산촌가구주수 (명),계,148.0,귀산촌
영주시,2021,귀산촌가구주수 (명),0 - 29세,11.0,귀산촌
영주시,2021,귀산촌가구주수 (명),30 - 39세,20.0,귀산촌
영주시,2021,귀산촌가구주수 (명),40 - 49세,19.0,귀산촌
영주시,2021,귀산촌가구주수 (명),50 - 59세,28.0,귀산촌
영주시,2021,귀산촌가구주수 (명),60 - 69세,45.0,귀산촌
영주시,2021,귀산촌가구주수 (명),70세 이상,25.0,귀산촌
영주시,2022,귀산촌가구주수 (명),계,161.0,귀산촌
영주시,2022,귀산촌가구주수 (명),0 - 29세,10.0,귀산촌
영주시,2022,귀산촌가구주수 (명),30 - 39세,12.0,귀산촌
영주시,2022,귀산촌가구주수 (명),40 - 49세,22.0,귀산촌
영주시,2022,귀산촌가구주수 (명),50 - 59세,51.0,귀산촌
영주시,2022,귀산촌가구주수 (명),60 - 69세,38.0,귀산촌
영주시,2022,귀산촌가구주수 (명),70세 이상,28.0,귀산촌
영주시,2023,귀산촌가구주수 (명),계,142.0,귀산촌
영주시,2023,귀산촌가구주수 (명),0 - 29세,29.0,귀산촌
영주시,2023,귀산촌가구주수 (명),30 - 39세,20.0,귀산촌
영주시,2023,귀산촌가구주수 (명),40 - 49세,13.0,귀산촌
영주시,2023,귀산촌가구주수 (명),50 - 59세,30.0,귀산촌
영주시,2023,귀산촌가구주수 (명),60 - 69세,36.0,귀산촌
영주시,2023,귀산촌가구주수 (명),70세 이상,14.0,귀산촌
영주시,2024,귀산촌가구주수 (명),계,388.0,귀산촌
영주시,2024,귀산촌가구주수 (명),0 - 29세,105.0,귀산촌
영주시,2024,귀산촌가구주수 (명),30 - 39세,55.0,귀산촌
영주시,2024,귀산촌가구주수 (명),40 - 49세,50.0,귀산촌
영주시,2024,귀산촌가구주수 (명),50 - 59세,74.0,귀산촌
영주시,2024,귀산촌가구주수 (명),60 - 69세,64.0,귀산촌
영주시,2024,귀산촌가구주수 (명),70세 이상,40.0,귀산촌
영주시,2020,동반가구원수 (명),계,32.0,귀산촌
영주시,2020,동반가구원수 (명),0 - 29세,9.0,귀산촌
영주시,2020,동반가구원수 (명),30 - 39세,7.0,귀산촌
영주시,2020,동반가구원수 (명),40 - 49세,4.0,귀산촌
영주시,2020,동반가구원수 (명),50 - 59세,,귀산촌
영주시,2020,동반가구원수 (명),60 - 69세,7.0,귀산촌
영주시,2020,동반가구원수 (명),70세 이상,,귀산촌
영주시,2021,동반가구원수 (명),계,25.0,귀산촌
영주시,2021,동반가구원수 (명),0 - 29세,5.0,귀산촌
영주시,2021,동반가구원수 (명),30 - 39세,,귀산촌
영주시,2021,동반가구원수 (명),40 - 49세,,귀산촌
영주시,2021,동반가구원수 (명),50 - 59세,10.0,귀산촌
영주시,2021,동반가구원수 (명),60 - 69세,4.0,귀산촌
영주시,2021,동반가구원수 (명),70세 이상,,귀산촌
영주시,2022,동반가구원수 (명),계,33.0,귀산촌
영주시,2022,동반가구원수 (명),0 - 29세,5.0,귀산촌
영주시,2022,동반가구원수 (명),30 - 39세,7.0,귀산촌
영주시,2022,동반가구원수 (명),40 - 49세,6.0,귀산촌
영주시,2022,동반가구원수 (명),50 - 59세,5.0,귀산촌
영주시,2022,동반가구원수 (명),60 - 69세,7.0,귀산촌
영주시,2022,동반가구원수 (명),70세 이상,,귀산촌
영주시,2023,동반가구원수 (명),계,19.0,귀산촌
영주시,2023,동반가구원수 (명),0 - 29세,,귀산촌
영주시,2023,동반가구원수 (명),30 - 39세,,귀산촌
영주시,2023,동반가구원수 (명),40 - 49세,,귀산촌
영주시,2023,동반가구원수 (명),50 - 59세,5.0,귀산촌
영주시,2023,동반가구원수 (명),60 - 69세,5.0,귀산촌
영주시,2023,동반가구원수 (명),70세 이상,,귀산촌
영주시,2024,동반가구원수 (명),계,65.0,귀산촌
영주시,2024,동반가구원수 (명),0 - 29세,23.0,귀산촌
영주시,2024,동반가구원수 (명),30 - 39세,7.0,귀산촌
영주시,2024,동반가구원수 (명),40 - 49세,4.0,귀산촌
영주시,2024,동반가구원수 (명),50 - 59세,14.0,귀산촌
영주시,2024,동반가구원수 (명),60 - 69세,15.0,귀산촌
영주시,2024,동반가구원수 (명),70세 이상,,귀산촌
