sigun,year,item,age_group,value,kind
영주시,2020,귀촌인수 (명),계,920,귀촌
영주시,2020,귀촌인수 (명),0 - 29세,154,귀촌
영주시,2020,귀촌인수 (명),30 - 39세,137,귀촌
영주시,2020,귀촌인수 (명),40 - 49세,136,귀촌
영주시,2020,귀촌인수 (명),50 - 59세,187,귀촌
영주시,2020,귀촌인수 (명),60 - 69세,182,귀촌
영주시,2020,귀촌인수 (명),70세 이상,124,귀촌
영주시,2021,귀촌인수 (명),계,971,귀촌
영주시,2021,귀촌인수 (명),0 - 29세,176,귀촌
영주시,2021,귀촌인수 (명),30 - 39세,136,귀촌
영주시,2021,귀촌인수 (명),40 - 49세,118,귀촌
영주시,2021,귀촌인수 (명),50 - 59세,202,귀촌
영주시,2021,귀촌인수 (명),60 - 69세,219,귀촌
영주시,2021,귀촌인수 (명),70세 이상,120,귀촌
영주시,2022,귀촌인수 (명),계,875,귀촌
영주시,2022,귀촌인수 (명),0 - 29세,112,귀촌
영주시,2022,귀촌인수 (명),30 - 39세,112,귀촌
영주시,2022,귀촌인수 (명),40 - 49세,102,귀촌
영주시,2022,귀촌인수 (명),50 - 59세,216,귀촌
영주시,2022,귀촌인수 (명),60 - 69세,206,귀촌
영주시,2022,귀촌인수 (명),70세 이상,127,귀촌
영주시,2023,귀촌인수 (명),계,840,귀촌
영주시,2023,귀촌인수 (명),0 - 29세,169,귀촌
영주시,2023,귀촌인수 (명),30 - 39세,110,귀촌
영주시,2023,귀촌인수 (명),40 - 49세,111,귀촌
영주시,2023,귀촌인수 (명),50 - 59세,146,귀촌
영주시,2023,귀촌인수 (명),60 - 69세,182,귀촌
영주시,2023,귀촌인수 (명),70세 이상,122,귀촌
영주시,2024,귀촌인수 (명),계,853,귀촌
영주시,2024,귀촌인수 (명),0 - 29세,191,귀촌
영주시,2024,귀촌인수 (명),30 - 39세,115,귀촌
영주시,2024,귀촌인수 (명),40 - 49세,89,귀촌
영주시,2024,귀촌인수 (명),50 - 59세,166,귀촌
영주시,2024,귀촌인수 (명),60 - 69세,187,귀촌
영주시,2024,귀촌인수 (명),70세 이상,105,귀촌
영주시,2020,귀촌가구주수 (명),계,716,귀촌
영주시,2020,귀촌가구주수 (명),0 - 29세,89,귀촌
영주시,2020,귀촌가구주수 (명),30 - 39세,106,귀촌
영주시,2020,귀촌가구주수 (명),40 - 49세,105,귀촌
영주시,2020,귀촌가구주수 (명),50 - 59세,159,귀촌
영주시,2020,귀촌가구주수 (명),60 - 69세,152,귀촌
영주시,2020,귀촌가구주수 (명),70세 이상,105,귀촌
영주시,2021,귀촌가구주수 (명),계,766,귀촌
영주시,2021,귀촌가구주수 (명),0 - 29세,108,귀촌
영주시,2021,귀촌가구주수 (명),30 - 39세,107,귀촌
영주시,2021,귀촌가구주수 (명),40 - 49세,103,귀촌
영주시,2021,귀촌가구주수 (명),50 - 59세,155,귀촌
영주시,2021,귀촌가구주수 (명),60 - 69세,183,귀촌
영주시,2021,귀촌가구주수 (명),70세 이상,110,귀촌
영주시,2022,귀촌가구주수 (명),계,746,귀촌
영주시,2022,귀촌가구주수 (명),0 - 29세,79,귀촌
영주시,2022,귀촌가구주수 (명),30 - 39세,91,귀촌
영주시,2022,귀촌가구주수 (명),40 - 49세,88,귀촌
영주시,2022,귀촌가구주수 (명),50 - 59세,195,귀촌
영주시,2022,귀촌가구주수 (명),60 - 69세,179,귀촌
