민박명,주소,사업개시일,객실수,읍면동
금호농장민박,경상북도 영주시 풍기읍 삼가로 257,2006-04-06,4,풍기읍
연화동펜션,경상북도 영주시 단산면 영단로601번길 103-6,2006-04-19,6,단산면
과수원민박,경상북도 영주시 부석면 부석사로298번길 35-1,2006-04-30,3,부석면
고칫재민박,경상북도 영주시 단산면 영단로 546,2006-05-10,3,단산면
용상골민박,경상북도 영주시 단산면 영단로 183-57,2006-07-09,3,단산면
삼락정사,경상북도 영주시 단산면 영단로601번길 64,2006-12-11,6,단산면
산수방,경상북도 영주시 풍기읍 삼가로 140,2008-02-28,2,풍기읍
금다래산장,경상북도 영주시 순흥면 죽계로 233,2009-10-20,4,순흥면
호수민박,경상북도 영주시 순흥면 죽계로 257,2009-12-15,1,순흥면
뜬돌황토,경상북도 영주시 부석면 영부로106번길 6-55,2010-05-30,3,부석면
준이네민박,경상북도 영주시 부석면 부석사로 253,2010-07-18,2,부석면
도솔민박,경상북도 영주시 풍기읍 죽령로1381번길56-52,2011-12-11,4,풍기읍
갈라지 펜션,경상북도 영주시 풍기읍 죽령로1381번길56-48,2012-03-04,3,풍기읍
언덕위 작은집,경상북도 영주시 부석면 부석사로243번길 37-13,2013-05-09,3,부석면
펜션마운틴힐,경상북도 영주시 풍기읍 삼가로 97-10,2013-06-03,6,풍기읍
무쇠다리민박,경상북도 영주시 풍기읍 죽령로1381번길 52-98,2013-08-18,1,풍기읍
가족민박,경상북도 영주시 단산면 영단로 479,2013-10-03,1,단산면
소백산호스민박,경상북도 영주시 풍기읍 죽령로 1706-5,2014-03-19,3,풍기읍
선비촌호수농원,경상북도 영주시 순흥면 죽계로136번길 55-60,2014-05-19,1,순흥면
청솔민박 ,경상북도 영주시 풍기읍 삼가로 68,2014-07-28,2,풍기읍
느티나무민박,영주시 평은면 평은로 871,2015-03-24,2,평은면
희방민박,경상북도 영주시 풍기읍 죽령로1648번길 19,2015-05-05,4,풍기읍
죽계구곡산장,경상북도 영주시 순흥면 죽계로315번길 36,2015-12-03,2,순흥면
소백산샬레팬션,경상북도 영주시 순흥면 죽계로293번길 41,2016-05-30,5,순흥면
소백산자연누리민박,경상북도 영주시 풍기읍 삼가로 288,2016-06-30,4,풍기읍
달밭골나눔터,경상북도 영주시 풍기읍 삼가로 713,2016-07-04,2,풍기읍
죽령옛길 민박,경상북도 영주시 풍기읍 죽령로1513번길 41-16,2016-08-29,3,풍기읍
소부골산장,경상북도 영주시 평은면 예봉로 236-57,2016-10-12,2,평은면
시절인연,경상북도 영주시 평은면 수변로 100,2016-10-16,5,평은면
소백산배점민박,경상북도 영주시 순흥면 죽계로 247,2016-10-19,5,순흥면
호숫가보금자리,경상북도 영주시 풍기읍 삼가로 136-3,2016-12-15,4,풍기읍
부석사가는길에,경상북도 영주시 부석면 봉황산로 103,2017-01-23,7,부석면
힐링스토리,경상북도 영주시 풍기읍 삼가로 215,2017-01-23,2,풍기읍
자락길 민박,경상북도 영주시 부석면 영부로 1033-1,2017-01-23,1,부석면
테라피민박,경상북도 영주시 봉현면 테라피로 330,2017-01-23,2,봉현면
영주팬션,경상북도 영주시 순흥면 청구길 319,2017-01-25,2,순흥면
그곳에가면,경상북도 영주시 부석면 영부로890번길 159,2017-04-05,2,부석면
사과향기,경상북도 영주시 봉현면 소백로1623번길 199,2017-05-09,4,봉현면
소백정원,경상북도 영주시 봉현면 테라피로368번길 8-6,2017-07-05,2,봉현면
소백산당골민박,경상북도 영주시 풍기읍 삼가로479번길 93,2017-07-16,1,풍기읍
소백산 옛고을 민박,경상북도 영주시 풍기읍 죽령로1513번길 60-14,2017-07-25,2,풍기읍
삼봉민박,경상북도 영주시 풍기읍 삼가로479번길 83,2017-07-30,1,풍기읍
하루민박,경상북도 영주시 풍기읍 죽령로 1222-1,2017-10-12,5,풍기읍
드림민박,경상북도 영주시 이산면 영봉로 358,2017-10-26,8,이산면
달뜨는민박,경상북도 영주시 풍기읍 삼가로 696,2017-11-12,2,풍기읍
부석사아래단풍길펜션,경상북도 영주시 부석면 영부로 97,2017-12-13,2,부석면
먹골민박,경상북도 영주시 이산면 웃무리로 86,2017-12-28,5,이산면
남대궐,경상북도 영주시 부석면 영부로890번길 86,2018-03-19,1,부석면
소백민박,경상북도 영주시 풍기읍 삼가로 299,2018-03-19,3,풍기읍
하늘산,경상북도 영주시 부석면 영부로890번길 23-1,2018-05-07,1,부석면
들꽃바람민박,경상북도 영주시 풍기읍 죽령로1182번길 37,2018-06-10,2,풍기읍
호원당 황토민박,경상북도 영주시 풍기읍 전구로 14,2021-03-15,2,풍기읍
소백산삼가동유곡민박,경상북도 영주시 풍기읍 삼가로479번길 22,2018-07-19,3,풍기읍
구쟁이,경상북도 영주시 단산면 영단로535번길 65-24,2018-07-31,1,단산면
