구분,읍면동,리,주택유형,등급판정결과,건축면적(㎡),등급,활용가능
읍면,풍기읍,교촌리,그 외,3등급,,3,N
읍면,풍기읍,교촌리,그 외,1등급,,1,Y
읍면,풍기읍,교촌리,단독,1등급,39.0,1,Y
읍면,풍기읍,금계리,단독,3등급,26.78,3,N
읍면,풍기읍,금계리,그 외,2등급,,2,Y
읍면,풍기읍,금계리,그 외,3등급,,3,N
읍면,풍기읍,금계리,단독,2등급,57.33,2,Y
읍면,풍기읍,금계리,그 외,3등급,,3,N
읍면,풍기읍,금계리,그 외,2등급,,2,Y
읍면,풍기읍,금계리,단독,3등급,93.22,3,N
읍면,풍기읍,금계리,그 외,2등급,,2,Y
읍면,풍기읍,금계리,단독,3등급,,3,N
읍면,풍기읍,동부리,그 외,4등급,,4,N
읍면,풍기읍,동부리,그 외,1등급,,1,Y
읍면,풍기읍,동부리,단독,1등급,29.73,1,Y
읍면,풍기읍,동부리,단독,3등급,26.45,3,N
읍면,풍기읍,동부리,단독,2등급,166.98,2,Y
읍면,풍기읍,동부리,단독,1등급,90.72,1,Y
읍면,풍기읍,동부리,그 외,2등급,53.22,2,Y
읍면,풍기읍,동부리,단독,2등급,38.51,2,Y
읍면,풍기읍,동부리,단독,4등급,26.78,4,N
읍면,풍기읍,동부리,단독,1등급,55.6,1,Y
읍면,풍기읍,동부리,그 외,4등급,,4,N
읍면,풍기읍,동부리,단독,3등급,44.36,3,N
읍면,풍기읍,동부리,그 외,1등급,,1,Y
읍면,풍기읍,동부리,그 외,1등급,,1,Y
읍면,풍기읍,동부리,단독,1등급,16.5,1,Y
읍면,풍기읍,동부리,단독,1등급,58.22,1,Y
읍면,풍기읍,동부리,그 외,2등급,,2,Y
읍면,풍기읍,동부리,단독,1등급,82.89,1,Y
읍면,풍기읍,동부리,그 외,2등급,,2,Y
읍면,풍기읍,동부리,단독,3등급,25.12,3,N
읍면,풍기읍,동부리,단독,2등급,39.67,2,Y
읍면,풍기읍,동부리,단독,3등급,21.49,3,N
읍면,풍기읍,동부리,단독,1등급,79.0,1,Y
읍면,풍기읍,동부리,단독,2등급,30.74,2,Y
읍면,풍기읍,동부리,단독,4등급,27.57,4,N
읍면,풍기읍,동부리,그 외,2등급,,2,Y
읍면,풍기읍,동부리,단독,2등급,86.03,2,Y
읍면,풍기읍,동부리,단독,3등급,23.14,3,N
읍면,풍기읍,동부리,그 외,2등급,,2,Y
읍면,풍기읍,동부리,단독,4등급,46.8,4,N
읍면,풍기읍,동부리,단독,1등급,79.54,1,Y
읍면,풍기읍,동부리,단독,2등급,31.16,2,Y
읍면,풍기읍,동부리,그 외,2등급,66.12,2,Y
읍면,풍기읍,동부리,단독,3등급,35.7,3,N
읍면,풍기읍,동부리,단독,2등급,27.77,2,Y
읍면,풍기읍,동부리,그 외,1등급,,1,Y
읍면,풍기읍,동부리,그 외,2등급,,2,Y
읍면,풍기읍,동부리,단독,2등급,30.08,2,Y
읍면,풍기읍,동부리,그 외,2등급,,2,Y
읍면,풍기읍,미곡리,그 외,2등급,99.0,2,Y
읍면,풍기읍,미곡리,단독,4등급,123.97,4,N
읍면,풍기읍,미곡리,단독,3등급,40.99,3,N
읍면,풍기읍,미곡리,그 외,3등급,,3,N
읍면,풍기읍,미곡리,그 외,2등급,,2,Y
읍면,풍기읍,백리,그 외,2등급,,2,Y
읍면,풍기읍,백리,그 외,3등급,,3,N
읍면,풍기읍,백리,그 외,3등급,,3,N
읍면,풍기읍,백리,단독,1등급,69.7,1,Y
읍면,풍기읍,백리,단독,4등급,66.12,4,N
읍면,풍기읍,백리,단독,1등급,26.45,1,Y
읍면,풍기읍,백신리,그 외,2등급,,2,Y
읍면,풍기읍,산법리,그 외,2등급,,2,Y
읍면,풍기읍,삼가리,단독,3등급,15.87,3,N
읍면,풍기읍,삼가리,단독,4등급,18.2,4,N
읍면,풍기읍,서부리,그 외,3등급,117.69,3,N
읍면,풍기읍,서부리,단독,2등급,68.76,2,Y
읍면,풍기읍,서부리,그 외,2등급,,2,Y
읍면,풍기읍,서부리,그 외,3등급,100.04,3,N
읍면,풍기읍,서부리,그 외,3등급,,3,N
읍면,풍기읍,서부리,단독,3등급,93.17,3,N
읍면,풍기읍,서부리,단독,4등급,109.41,4,N
읍면,풍기읍,서부리,단독,4등급,107.43,4,N
읍면,풍기읍,서부리,단독,4등급,35.37,4,N
읍면,풍기읍,서부리,그 외,3등급,,3,N
읍면,풍기읍,서부리,그 외,4등급,187.77,4,N
읍면,풍기읍,서부리,단독,3등급,141.81,3,N
읍면,풍기읍,서부리,단독,2등급,50.9,2,Y
읍면,풍기읍,서부리,그 외,2등급,,2,Y
읍면,풍기읍,서부리,단독,1등급,40.69,1,Y
읍면,풍기읍,서부리,단독,1등급,81.16,1,Y
읍면,풍기읍,서부리,단독,2등급,56.2,2,Y
읍면,풍기읍,성내리,단독,1등급,196.7,1,Y
읍면,풍기읍,성내리,단독,2등급,90.91,2,Y
읍면,풍기읍,성내리,그 외,2등급,,2,Y
읍면,풍기읍,성내리,단독,3등급,27.41,3,N
읍면,풍기읍,성내리,단독,1등급,68.36,1,Y
읍면,풍기읍,성내리,단독,3등급,42.97,3,N
읍면,풍기읍,수철리,단독,3등급,33.72,3,N
읍면,풍기읍,수철리,그 외,2등급,,2,Y
읍면,풍기읍,욱금리,단독,3등급,,3,N
읍면,풍기읍,전구리,단독,2등급,139.51,2,Y
읍면,풍기읍,전구리,그 외,3등급,,3,N
읍면,풍기읍,전구리,그 외,3등급,,3,N
읍면,풍기읍,전구리,그 외,3등급,,3,N
읍면,풍기읍,전구리,단독,2등급,52.56,2,Y
읍면,풍기읍,창락리,그 외,3등급,,3,N
읍면,풍기읍,창락리,그 외,4등급,,4,N
읍면,풍기읍,창락리,그 외,2등급,,2,Y
읍면,풍기읍,창락리,단독,3등급,43.64,3,N
읍면,풍기읍,창락리,그 외,3등급,,3,N
읍면,풍기읍,창락리,단독,4등급,130.58,4,N
읍면,풍기읍,창락리,단독,3등급,81.03,3,N
읍면,풍기읍,창락리,그 외,2등급,,2,Y
읍면,이산면,내림리,단독,2등급,46.3,2,Y
읍면,이산면,내림리,그 외,3등급,,3,N
읍면,이산면,내림리,그 외,2등급,,2,Y
읍면,이산면,두월리,단독,2등급,39.7,2,Y
읍면,이산면,두월리,단독,3등급,83.3,3,N
읍면,이산면,두월리,그 외,2등급,,2,Y
읍면,이산면,두월리,그 외,2등급,,2,Y
읍면,이산면,두월리,그 외,3등급,,3,N
읍면,이산면,두월리,단독,2등급,14.9,2,Y
읍면,이산면,두월리,그 외,3등급,,3,N
읍면,이산면,두월리,단독,3등급,165.9,3,N
읍면,이산면,두월리,그 외,2등급,,2,Y
읍면,이산면,석포리,단독,3등급,52.9,3,N
읍면,이산면,석포리,그 외,2등급,,2,Y
읍면,이산면,석포리,단독,2등급,69.64,2,Y
읍면,이산면,석포리,그 외,2등급,,2,Y
읍면,이산면,석포리,그 외,2등급,,2,Y
읍면,이산면,석포리,단독,3등급,51.9,3,N
읍면,이산면,신암리,그 외,3등급,,3,N
읍면,이산면,신암리,그 외,1등급,,1,Y
읍면,이산면,신암리,단독,2등급,50.6,2,Y
읍면,이산면,신암리,그 외,2등급,,2,Y
읍면,이산면,신암리,그 외,2등급,,2,Y
읍면,이산면,신암리,그 외,2등급,,2,Y
읍면,이산면,신암리,단독,1등급,33.1,1,Y
읍면,이산면,신암리,그 외,2등급,,2,Y
읍면,이산면,신암리,단독,3등급,,3,N
읍면,이산면,신암리,단독,3등급,14.5,3,N
읍면,이산면,신암리,단독,3등급,,3,N
읍면,이산면,신암리,그 외,2등급,,2,Y
읍면,이산면,신암리,그 외,2등급,,2,Y
읍면,이산면,신천리,단독,4등급,82.0,4,N
읍면,이산면,신천리,단독,3등급,94.2,3,N
읍면,이산면,신천리,단독,2등급,178.3,2,Y
읍면,이산면,신천리,그 외,1등급,,1,Y
읍면,이산면,신천리,그 외,2등급,,2,Y
읍면,이산면,신천리,그 외,3등급,,3,N
읍면,이산면,용상리,단독,3등급,59.2,3,N
