읍면동,병원,보건소,보건지소,보건진료소,약국,요양병원,의원,정신병원,종합병원,치과의원,한방병원,한의원,합계
영주동,2.0,0.0,0.0,0.0,15.0,0.0,22.0,0.0,0.0,6.0,0.0,11.0,56.0
하망동,0.0,0.0,0.0,0.0,10.0,0.0,18.0,0.0,0.0,11.0,0.0,7.0,46.0
가흥동,2.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,1.0,5.0,1.0,2.0,21.0
풍기읍,0.0,0.0,1.0,0.0,4.0,1.0,3.0,0.0,0.0,3.0,0.0,4.0,16.0
휴천동,0.0,1.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,5.0,0.0,2.0,15.0
부석면,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0
안정면,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
장수면,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
봉현면,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
상망동,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
단산면,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
문수면,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
순흥면,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
이산면,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
조암동,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
평은면,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
