요양기관명,종별코드명,시군구코드명,읍면동,주소,전화번호,개설일자,총의사수,의과전문의 인원수,한방전문의 인원수,치과전문의 인원수,좌표(X),좌표(Y),구분
가톨릭의원,의원,영주시,휴천동,"경상북도 영주시 대학로 30, 3층 (휴천동, 그린빌딩)",054-632-7587,2003-04-17,1.0,0.0,0.0,0.0,128.6210752,36.8097156,병원
강남비뇨기과의원,의원,영주시,영주동,"경상북도 영주시 구성로350번길 23, (영주동)",054-634-6611,2013-05-27,1.0,1.0,0.0,0.0,128.623969,36.8240731,병원
강남치과의원,치과의원,영주시,가흥동,"경상북도 영주시 대학로 217, 2층 (가흥동)",054-636-8222,2023-12-22,1.0,0.0,0.0,1.0,128.6051639,36.8146783,병원
경북마취통증의학과의원,의원,영주시,하망동,"경상북도 영주시 중앙로 122-1, 4층 (하망동)",054-631-2255,2003-11-07,1.0,1.0,0.0,0.0,128.6260631,36.8260153,병원
구본환내과의원,의원,영주시,영주동,"경상북도 영주시 중앙로 72, (영주동)",054-633-7563,1992-01-28,1.0,1.0,0.0,0.0,128.6241461,36.8218535,병원
구성현내과의원,의원,영주시,풍기읍,"경상북도 영주시 풍기읍 기주로 91, 2층",054-637-7585,2002-04-25,1.0,1.0,0.0,0.0,128.5257185,36.8699256,병원
권오연치과의원,치과의원,영주시,하망동,"경상북도 영주시 중앙로 78, (하망동)",054-636-0248,1996-11-08,1.0,0.0,0.0,0.0,128.6246686,36.8221215,병원
권치과의원,치과의원,영주시,하망동,"경상북도 영주시 중앙로 84, (하망동)",054-636-8675,1995-05-24,1.0,0.0,0.0,0.0,128.6249236,36.8226114,병원
김내과의원,의원,영주시,영주동,"경상북도 영주시 구성로 357, (영주동)",054-632-0999,1988-04-14,1.0,1.0,0.0,0.0,128.6225108,36.8234432,병원
김대순치과의원,치과의원,영주시,하망동,"경상북도 영주시 번영로 147, (하망동)",054-634-2876,1990-04-19,1.0,0.0,0.0,0.0,128.6253403,36.824318,병원
김신경정신과의원,의원,영주시,영주동,"경상북도 영주시 구성로 346, (영주동)",054-635-3890,1993-02-13,1.0,1.0,0.0,0.0,128.6238623,36.8228527,병원
김제욱비뇨기과의원,의원,영주시,하망동,"경상북도 영주시 중앙로 122, (하망동)",054-635-8290,2000-02-08,1.0,1.0,0.0,0.0,128.6260424,36.8258995,병원
꽃동산치과의원,치과의원,영주시,가흥동,"경상북도 영주시 지천로 160, (가흥동, 아름다운 손치과)",054-635-2879,2011-09-08,1.0,0.0,0.0,0.0,128.619186,36.8145537,병원
