요양기관명,종별코드명,읍면동,일반입원실일반병상수,응급실병상수,수술실병상수,물리치료실병상수
21세기약국,약국,영주동,0,0,0,0
365약국,약국,영주동,0,0,0,0
가톨릭의원,의원,휴천동,0,0,0,8
강남비뇨기과의원,의원,영주동,0,0,0,0
강남치과의원,치과의원,가흥동,0,0,0,0
경북마취통증의학과의원,의원,하망동,0,0,0,0
경북약국,약국,영주동,0,0,0,0
경희약국,약국,하망동,0,0,0,0
구본환내과의원,의원,영주동,0,0,0,0
구성현내과의원,의원,풍기읍,0,0,0,6
권오연치과의원,치과의원,하망동,0,0,0,0
권치과의원,치과의원,하망동,0,0,0,0
김내과의원,의원,영주동,0,0,0,0
김대순치과의원,치과의원,하망동,0,0,0,0
김신경정신과의원,의원,영주동,0,0,0,0
김약국,약국,영주동,0,0,0,0
김제욱비뇨기과의원,의원,하망동,0,0,0,0
꽃동산치과의원,치과의원,가흥동,0,0,0,0
남내과의원,의원,영주동,0,0,0,0
녹십자약국,약국,가흥동,0,0,0,0
다미안의원,의원,상망동,0,0,0,0
다인산부인과의원,의원,영주동,0,0,1,0
대동한의원,한의원,영주동,0,0,0,0
대영연합의원,의원,휴천동,0,0,0,11
대흥약국,약국,영주동,0,0,0,0
도건호마취과의원,의원,하망동,0,0,0,0
도원한의원,한의원,영주동,0,0,0,0
도제한의원,한의원,영주동,0,0,0,0
동산약국,약국,영주동,0,0,0,0
동산정형외과의원,의원,영주동,0,0,1,14
동원약국,약국,풍기읍,0,0,0,0
드림약국,약국,휴천동,0,0,0,0
라온365한의원 영주점,한의원,가흥동,0,0,0,0
라온치과의원,치과의원,가흥동,0,0,0,0
램브란트치과의원,치과의원,하망동,0,0,0,0
리더스치과의원,치과의원,영주동,0,0,0,0
마음편한정신건강의학과의원,의원,하망동,0,0,0,0
맑은 이비인후과 의원,의원,하망동,0,0,0,0
명문약국,약국,하망동,0,0,0,0
몸편한재활의학과의원,의원,영주동,0,0,0,7
바른치과의원,치과의원,하망동,0,0,0,0
박상현내과의원,의원,하망동,0,0,0,0
백세한의원,한의원,영주동,0,0,0,0
백현우외과의원,의원,영주동,0,0,0,0
변상철치과의원,치과의원,휴천동,0,0,0,0
보건약국,약국,영주동,0,0,0,0
본한의원,한의원,하망동,0,0,0,0
부석한의원,한의원,부석면,0,0,0,0
삼성안과의원,의원,하망동,0,0,0,0
삼성통증의학과의원,의원,하망동,0,0,0,14
삼성한의원,한의원,영주동,0,0,0,0
삽재한약국,약국,상망동,0,0,0,0
서울마디의원,의원,영주동,0,0,0,12
서울미소치과의원,치과의원,휴천동,0,0,0,0
서울이비인후과의원,의원,영주동,0,0,0,0
서울치과의원,치과의원,하망동,0,0,0,0
서울한의원,한의원,풍기읍,0,0,0,0
선비약국,약국,하망동,0,0,0,0
선제한의원,한의원,하망동,0,0,0,0
성모약국,약국,영주동,0,0,0,0
성심한의원,한의원,풍기읍,0,0,0,0
세움한의원,한의원,영주동,0,0,0,0
소백산약국,약국,영주동,0,0,0,0
소백한의원,한의원,휴천동,0,0,0,0
손현석내과의원,의원,영주동,0,0,0,0
수치과의원,치과의원,가흥동,0,0,0,0
수한의원,한의원,하망동,0,0,0,0
신비뇨기과의원,의원,영주동,0,0,0,0
신세계약국,약국,휴천동,0,0,0,0
신영주내과의원,의원,휴천동,0,0,0,0
신영주한의원,한의원,휴천동,0,0,0,0
신한의원,한의원,하망동,0,0,0,0
아름다운피부과의원,의원,영주동,0,0,0,0
양지약국,약국,휴천동,0,0,0,0
에이스마취통증의학과의원,의원,하망동,0,0,0,10
연세가족치과의원,치과의원,하망동,0,0,0,0
연세소망치과의원,치과의원,하망동,0,0,0,0
연세송치과의원,치과의원,영주동,0,0,0,0
연세행복치과의원,치과의원,가흥동,0,0,0,0
연세화이트치과의원,치과의원,휴천동,0,0,0,0
연합치과의원,치과의원,하망동,0,0,0,0
열린약국,약국,하망동,0,0,0,0
영주기독병원,병원,영주동,56,5,1,8
영주늘좋은내과의원,의원,하망동,0,0,0,0
영주대학로약국,약국,가흥동,0,0,0,0
영주미플란트치과의원,치과의원,하망동,0,0,0,0
영주밝은안과의원,의원,영주동,0,0,1,0
영주백세약국,약국,가흥동,0,0,0,0
영주부부한의원,한의원,하망동,0,0,0,0
영주삼봉병원,정신병원,가흥동,0,0,0,0
영주성모안과의원,의원,하망동,0,0,1,0
영주스마트치과의원,치과의원,휴천동,0,0,0,0
영주시단산면구구보건진료소,보건진료소,단산면,0,0,0,0
영주시단산면보건지소,보건지소,단산면,0,0,0,0
영주시립노인전문요양병원,요양병원,안정면,241,0,0,14
영주시문수면보건지소,보건지소,문수면,0,0,0,0
영주시문수면조제보건진료소,보건진료소,문수면,0,0,0,0
영주시보건소,보건소,휴천동,0,0,0,4
영주시봉현면노좌보건진료소,보건진료소,봉현면,0,0,0,0
영주시봉현면보건지소,보건지소,봉현면,0,0,0,0
영주시부석면보건지소,보건지소,부석면,0,0,0,0
영주시부석면상석보건진료소,보건진료소,부석면,0,0,0,0
영주시부석면임곡보건진료소,보건진료소,부석면,0,0,0,0
영주시순흥면배점보건진료소,보건진료소,순흥면,0,0,0,0
영주시순흥면보건지소,보건지소,순흥면,0,0,0,0
영주시안정면보건지소,보건지소,안정면,0,0,0,0
영주시안정면오계보건진료소,보건진료소,안정면,0,0,0,0
영주시안정면용산보건진료소,보건진료소,안정면,0,0,0,0
영주시운곡보건진료소,보건진료소,평은면,0,0,0,0
영주시이산면보건지소,보건지소,이산면,0,0,0,0
영주시이산면월림보건진료소,보건진료소,이산면,0,0,0,0
영주시장수면두전보건진료소,보건진료소,장수면,0,0,0,0
영주시장수면보건지소,보건지소,장수면,0,0,0,0
영주시장수면성곡보건진료소,보건진료소,장수면,0,0,0,0
영주시장수면소룡리보건진료소,보건진료소,장수면,0,0,0,0
영주시평은면보건지소,보건지소,평은면,0,0,0,0
영주시풍기읍보건지소,보건지소,풍기읍,0,0,0,0
영주신통의원,의원,하망동,0,0,0,24
영주약국,약국,영주동,0,0,0,0
영주연합속내과의원,의원,하망동,0,0,0,0
영주예치과의원,치과의원,영주동,0,0,0,0
영주임약국,약국,하망동,0,0,0,0
영주자인병원,병원,가흥동,187,5,2,24
영주적십자병원,종합병원,가흥동,124,10,3,8
영주중앙의원,의원,조암동,0,0,0,0
영주진단방사선과의원,의원,가흥동,0,0,0,10
영주치과의원,치과의원,하망동,0,0,0,0
영풍제일의원,의원,풍기읍,0,0,0,14
외갓집한의원,한의원,영주동,0,0,0,0
우리들약국,약국,휴천동,0,0,0,0
