요양기관명,장비코드,장비코드명,장비대수
가톨릭의원,B203,골밀도검사기,1
가톨릭의원,B302,초음파영상진단기,1
강남비뇨기과의원,B203,골밀도검사기,1
강남비뇨기과의원,D212,체외충격파쇄석기,1
강남비뇨기과의원,B302,초음파영상진단기,1
강남치과의원,B109,콘빔CT,1
구본환내과의원,B302,초음파영상진단기,1
구본환내과의원,B203,골밀도검사기,1
구성현내과의원,B203,골밀도검사기,1
구성현내과의원,B302,초음파영상진단기,1
권오연치과의원,B109,콘빔CT,1
권치과의원,B109,콘빔CT,1
김내과의원,B302,초음파영상진단기,2
김내과의원,B203,골밀도검사기,1
김대순치과의원,B109,콘빔CT,1
김제욱비뇨기과의원,D212,체외충격파쇄석기,1
김제욱비뇨기과의원,B302,초음파영상진단기,1
꽃동산치과의원,B109,콘빔CT,1
남내과의원,B302,초음파영상진단기,1
다인산부인과의원,B302,초음파영상진단기,1
다인산부인과의원,B203,골밀도검사기,1
대영연합의원,B302,초음파영상진단기,1
대영연합의원,B203,골밀도검사기,2
동산정형외과의원,B302,초음파영상진단기,1
동산정형외과의원,B203,골밀도검사기,1
라온치과의원,B109,콘빔CT,1
램브란트치과의원,B109,콘빔CT,1
리더스치과의원,B109,콘빔CT,1
맑은 이비인후과 의원,B109,콘빔CT,1
몸편한재활의학과의원,B203,골밀도검사기,1
바른치과의원,B109,콘빔CT,1
박상현내과의원,B302,초음파영상진단기,1
박상현내과의원,B203,골밀도검사기,1
변상철치과의원,B109,콘빔CT,1
삼성안과의원,B302,초음파영상진단기,1
삼성통증의학과의원,B203,골밀도검사기,1
서울마디의원,B302,초음파영상진단기,1
서울미소치과의원,B109,콘빔CT,1
서울치과의원,B109,콘빔CT,1
손현석내과의원,B203,골밀도검사기,2
손현석내과의원,B302,초음파영상진단기,2
수치과의원,B109,콘빔CT,1
신영주내과의원,B302,초음파영상진단기,1
신영주내과의원,B203,골밀도검사기,2
에이스마취통증의학과의원,B302,초음파영상진단기,1
연세가족치과의원,B109,콘빔CT,1
연세소망치과의원,B109,콘빔CT,2
연세송치과의원,B109,콘빔CT,1
연세행복치과의원,B109,콘빔CT,1
연세화이트치과의원,B109,콘빔CT,1
연합치과의원,B109,콘빔CT,1
영주기독병원,B203,골밀도검사기,1
영주기독병원,B108,CT,1
영주기독병원,B302,초음파영상진단기,4
영주기독병원,B105,유방촬영장치,1
영주늘좋은내과의원,B203,골밀도검사기,1
영주늘좋은내과의원,B105,유방촬영장치,1
영주늘좋은내과의원,B302,초음파영상진단기,1
영주미플란트치과의원,B109,콘빔CT,1
영주밝은안과의원,B302,초음파영상진단기,2
영주성모안과의원,B302,초음파영상진단기,1
영주스마트치과의원,B109,콘빔CT,1
영주시립노인전문요양병원,D214,혈액투석을위한인공신장기,25
영주시립노인전문요양병원,B302,초음파영상진단기,1
영주신통의원,B302,초음파영상진단기,1
영주신통의원,B203,골밀도검사기,1
영주연합속내과의원,B203,골밀도검사기,1
영주연합속내과의원,B105,유방촬영장치,1
영주연합속내과의원,B302,초음파영상진단기,1
영주예치과의원,B109,콘빔CT,1
영주자인병원,B203,골밀도검사기,1
영주자인병원,B105,유방촬영장치,1
영주자인병원,B301,MRI,1
영주자인병원,B108,CT,1
영주자인병원,B302,초음파영상진단기,1
영주적십자병원,B301,MRI,1
영주적십자병원,B108,CT,1
영주적십자병원,D214,혈액투석을위한인공신장기,16
영주적십자병원,B203,골밀도검사기,1
영주적십자병원,B105,유방촬영장치,1
영주적십자병원,D212,체외충격파쇄석기,1
영주적십자병원,B302,초음파영상진단기,9
영주진단방사선과의원,B302,초음파영상진단기,2
영주진단방사선과의원,B301,MRI,1
영주진단방사선과의원,B203,골밀도검사기,1
영주진단방사선과의원,B105,유방촬영장치,1
영주치과의원,B109,콘빔CT,1
영풍제일의원,B203,골밀도검사기,1
우리치과의원,B109,콘빔CT,1
의료법인 영주의료재단 더명품재활병원,B302,초음파영상진단기,1
의료법인 영주의료재단 명품요양병원,D214,혈액투석을위한인공신장기,20
의료법인 영풍의료재단 풍기성심요양병원,D214,혈액투석을위한인공신장기,17
의료법인 영풍의료재단 풍기성심요양병원,B302,초음파영상진단기,1
의료법인기호의료재단 청하요양병원,B109,콘빔CT,1
의료법인기호의료재단 청하요양병원,B302,초음파영상진단기,1
의료법인청봉의료재단성누가병원,B105,유방촬영장치,1
의료법인청봉의료재단성누가병원,B108,CT,1
의료법인청봉의료재단성누가병원,B301,MRI,1
의료법인청봉의료재단성누가병원,B302,초음파영상진단기,1
이강욱내과의원,B302,초음파영상진단기,1
이정일산부인과의원,B203,골밀도검사기,2
이정일산부인과의원,B302,초음파영상진단기,1
이찬응산부인과의원,B302,초음파영상진단기,1
이찬응산부인과의원,B203,골밀도검사기,1
인애가의원,D214,혈액투석을위한인공신장기,15
인애가의원,B203,골밀도검사기,1
인애가의원,B302,초음파영상진단기,2
제일신경외과의원,B108,CT,1
제일신경외과의원,B203,골밀도검사기,1
지성안과의원,B302,초음파영상진단기,1
최내과의원,B302,초음파영상진단기,1
최내과의원,B203,골밀도검사기,1
최치과의원,B109,콘빔CT,1
풍기치과의원,B109,콘빔CT,1
하나삼성의원,B203,골밀도검사기,1
하영욱정형외과의원,B203,골밀도검사기,1
한마음치과의원,B109,콘빔CT,1
행복한세상의원,B203,골밀도검사기,1
허찬욱이비인후과의원,B109,콘빔CT,1
현대치과의원,B109,콘빔CT,1
황치과의원,B109,콘빔CT,1
