요양기관명,진료과목코드,진료과목코드명,과목별 전문의수,선택진료 의사수
가톨릭의원,1,내과,0,0
가톨릭의원,5,정형외과,0,0
가톨릭의원,11,소아청소년과,0,0
가톨릭의원,14,피부과,0,0
가톨릭의원,15,비뇨의학과,0,0
강남비뇨기과의원,14,피부과,0,0
강남비뇨기과의원,15,비뇨의학과,1,0
강남치과의원,50,구강악안면외과,1,0
강남치과의원,51,치과보철과,0,0
강남치과의원,52,치과교정과,0,0
강남치과의원,53,소아치과,0,0
강남치과의원,54,치주과,0,0
강남치과의원,55,치과보존과,0,0
강남치과의원,56,구강내과,0,0
강남치과의원,57,영상치의학과,0,0
강남치과의원,59,예방치과,0,0
경북마취통증의학과의원,1,내과,0,0
경북마취통증의학과의원,5,정형외과,0,0
경북마취통증의학과의원,6,신경외과,0,0
경북마취통증의학과의원,9,마취통증의학과,1,0
경북마취통증의학과의원,13,이비인후과,0,0
경북마취통증의학과의원,14,피부과,0,0
구본환내과의원,1,내과,1,0
구성현내과의원,1,내과,1,0
권오연치과의원,50,구강악안면외과,0,0
권오연치과의원,51,치과보철과,0,0
권오연치과의원,53,소아치과,0,0
권오연치과의원,54,치주과,0,0
권오연치과의원,55,치과보존과,0,0
권오연치과의원,57,영상치의학과,0,0
권오연치과의원,61,통합치의학과,0,0
권치과의원,50,구강악안면외과,0,0
권치과의원,51,치과보철과,0,0
권치과의원,53,소아치과,0,0
권치과의원,54,치주과,0,0
권치과의원,55,치과보존과,0,0
권치과의원,56,구강내과,0,0
권치과의원,57,영상치의학과,0,0
권치과의원,59,예방치과,0,0
김내과의원,1,내과,1,0
김내과의원,2,신경과,0,0
김내과의원,11,소아청소년과,0,0
김내과의원,13,이비인후과,0,0
김내과의원,14,피부과,0,0
김내과의원,15,비뇨의학과,0,0
김대순치과의원,50,구강악안면외과,0,0
김대순치과의원,51,치과보철과,0,0
김대순치과의원,53,소아치과,0,0
김대순치과의원,54,치주과,0,0
김대순치과의원,55,치과보존과,0,0
