region,year,month,total_pop,male_pop,female_pop,household,sex_ratio
영주시 전체,2026,4,96555,48063,48492,51380,99.12
풍기읍,2026,4,9943,5033,4910,5708,102.51
이산면,2026,4,2095,1079,1016,1153,106.2
평은면,2026,4,1331,680,651,789,104.45
문수면,2026,4,1808,956,852,1087,112.21
장수면,2026,4,1952,1008,944,1150,106.78
안정면,2026,4,2727,1371,1356,1568,101.11
봉현면,2026,4,2445,1257,1188,1363,105.81
순흥면,2026,4,1807,915,892,1094,102.58
단산면,2026,4,1671,832,839,1020,99.17
부석면,2026,4,2694,1351,1343,1604,100.6
상망동,2026,4,6801,3360,3441,3422,97.65
하망동,2026,4,5627,2730,2897,2985,94.24
영주1동,2026,4,3361,1643,1718,2019,95.63
영주2동,2026,4,4371,2057,2314,2386,88.89
휴천1동,2026,4,6885,3418,3467,3214,98.59
휴천2동,2026,4,9569,4682,4887,5385,95.81
휴천3동,2026,4,6773,3318,3455,3488,96.03
가흥1동,2026,4,14854,7531,7323,7100,102.84
가흥2동,2026,4,9841,4842,4999,4845,96.86
